model,explain_method,seed,function,samples,dimension,noise,test_mse,train_mse,selected_variables,true_variables,variable_precision,variable_recall,variable_f1,formula,score_x0,score_x1,score_x2,score_x3,score_x4,score_x5,score_x6,score_x7,score_x8,score_x9,score_x10,score_x11,score_x12,score_x13,score_x14,score_x15,score_x16,score_x17,score_x18,score_x19,selected_interactions,true_interactions,interaction_precision,interaction_recall,interaction_f1
MLP,grad,2,core_interaction,1024,20,0.0,1.9754903316497803,0.0013466814998537302,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,0.7173221707344055,1.269970417022705,0.938137948513031,0.8538856506347656,0.5275576710700989,0.701532244682312,0.5250950455665588,0.7039020657539368,0.6564414501190186,0.4850170314311981,0.6957223415374756,0.6732605695724487,0.6751944422721863,0.7104851007461548,0.6202989816665649,0.5468095541000366,0.5454314947128296,0.6220847368240356,0.5563699007034302,0.5822990536689758,,,,,
MLP,perm,2,core_interaction,1024,20,0.0,1.9754903316497803,0.0013466814998537302,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,0.14146368205547333,0.2834912836551666,0.38098612427711487,0.3114570677280426,0.0,0.05974602699279785,0.0,0.0,0.0,0.0,0.03431280329823494,0.044417738914489746,0.018713315948843956,0.0,0.034290630370378494,0.06168556213378906,0.0,0.0,0.0,0.0,,,,,
KAN,grad,3,core_interaction,1024,20,0.0,6.071370080462657e-05,1.85260232683504e-05,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,4.856053829193115,1.179314136505127,0.6289572715759277,0.6158230900764465,0.004660304170101881,0.002832782920449972,0.006779174320399761,0.004274305887520313,0.0050709787756204605,0.004402670077979565,0.00296628475189209,0.004845758900046349,0.00488294567912817,0.007705103140324354,0.0025957520119845867,0.004637605976313353,0.0038452642038464546,0.004052024334669113,0.0039681680500507355,0.007695341482758522,"[(2, 3)]","[(2, 3)]",1.0,1.0,1.0
KAN,perm,3,core_interaction,1024,20,0.0,6.071370080462657e-05,1.85260232683504e-05,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,1.495086669921875,0.2604638636112213,0.3446473777294159,0.3384179174900055,0.0,0.0,1.0666408343240619e-06,8.576535037718713e-07,5.479111564454797e-07,0.0,5.548075137085107e-07,2.448844860225563e-08,0.0,0.0,1.772217075313165e-07,0.0,0.0,0.0,0.0,0.0,"[(2, 3)]","[(2, 3)]",1.0,1.0,1.0
MLP,grad,3,core_interaction,1024,20,0.0,1.901710033416748,0.0009862796869128942,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,0.8657261729240417,1.5513765811920166,0.7581355571746826,0.7975761890411377,0.6805996894836426,0.4833506643772125,0.6230810880661011,0.5405536890029907,0.5796865224838257,0.7128362655639648,0.5011680126190186,0.5311318635940552,0.4836844503879547,0.47588253021240234,0.7168031930923462,0.42308181524276733,0.5484551787376404,0.628885805606842,0.6527490019798279,0.5799220204353333,,,,,
MLP,perm,3,core_interaction,1024,20,0.0,1.901710033416748,0.0009862796869128942,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,0.25720420479774475,0.30629587173461914,0.19004487991333008,0.2606360912322998,0.0,0.014377315528690815,0.015521883964538574,0.0,0.0,0.0204292144626379,0.05614793300628662,0.009335041046142578,0.04695097729563713,0.06049947068095207,0.0,0.0,0.0,0.03750777244567871,0.01859680749475956,0.0,,,,,
KAN,grad,4,core_interaction,1024,20,0.0,5.442490510176867e-05,2.5702163839014247e-05,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,4.893043041229248,1.233814001083374,0.6179472208023071,0.6071388721466064,0.005213550291955471,0.0026718531735241413,0.002433439716696739,0.002687281696125865,0.0015734080225229263,0.003484638873487711,0.0023895425256341696,0.004726630635559559,0.0019074815791100264,0.0035017849877476692,0.0020590429194271564,0.002590081188827753,0.004248878452926874,0.003420004853978753,0.0023910896852612495,0.003213771153241396,"[(2, 3)]","[(2, 3)]",1.0,1.0,1.0
KAN,perm,4,core_interaction,1024,20,0.0,5.442490510176867e-05,2.5702163839014247e-05,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,1.3960973024368286,0.2592008411884308,0.3457688093185425,0.3534505367279053,5.174563852961e-07,6.131219265625987e-07,1.0055470056613558e-06,5.413166945800185e-07,5.530576530077269e-08,0.0,0.0,0.0,0.0,0.0,3.1929328514479494e-08,3.433936797136994e-07,1.3568957228926593e-06,0.0,0.0,0.0,"[(2, 3)]","[(2, 3)]",1.0,1.0,1.0
MLP,grad,4,core_interaction,1024,20,0.0,1.8032810688018799,0.0006083104526624084,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,1.1039237976074219,1.345932126045227,0.8892611861228943,0.878695011138916,0.670921802520752,0.5949087142944336,0.581626296043396,0.5500702857971191,0.5572922229766846,0.6437154412269592,0.6463785767555237,0.6780369877815247,0.5455659627914429,0.5571560859680176,0.5407507419586182,0.4944491982460022,0.49279946088790894,0.5565342307090759,0.6684134006500244,0.6384469270706177,,,,,
MLP,perm,4,core_interaction,1024,20,0.0,1.8032810688018799,0.0006083104526624084,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,0.17738325893878937,0.22220604121685028,0.35609617829322815,0.29570499062538147,0.024100342765450478,0.0,0.0,0.05868665501475334,0.0,0.006683071609586477,0.0004106760025024414,0.0,0.0,0.0,0.0,0.0,0.0,0.028607487678527832,0.009063919074833393,0.0,,,,,
